PID,Archive ID,Letter Number,Archive URL,iFrame
p00ylf7z,287310,2323,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287310,http://www.bu.edu/dbin/archives/content/holdings/LFA2323/HTML 
p00ylf7l,287315,2324,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287315,http://www.bu.edu/dbin/archives/content/holdings/LFA2324/HTML 
p00ylf76,287320,2325,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287320,http://www.bu.edu/dbin/archives/content/holdings/LFA2325/HTML 
p00ylf6w,287327,2326,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287327,http://www.bu.edu/dbin/archives/content/holdings/LFA2326/HTML 
p00ylf69,287330,2327,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287330,http://www.bu.edu/dbin/archives/content/holdings/LFA2327/HTML 
p00ylf5n,287340,2328,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287340,http://www.bu.edu/dbin/archives/content/holdings/LFA2328/HTML 
p00ylf4v,287357,2329,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287357,http://www.bu.edu/dbin/archives/content/holdings/LFA2329/HTML 
p00ylf3q,287375,2331,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287375,http://www.bu.edu/dbin/archives/content/holdings/LFA2331/HTML 
p00ylf3q,287392,2332,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287392,http://www.bu.edu/dbin/archives/digital_objects/LFA2332/HTML/
p00z2p1p,287845,2343,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287845,http://www.bu.edu/dbin/archives/content/holdings/LFA2343/HTML 
p00ylk8m,287848,2344,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287848,http://www.bu.edu/dbin/archives/content/holdings/LFA2344/HTML 
p00ylk79,287852,2345,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287852,http://www.bu.edu/dbin/archives/content/holdings/LFA2345/HTML 
p00ylk65,287861,2346,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287861,http://www.bu.edu/dbin/archives/content/holdings/LFA2346/HTML 
b008cpb3,287867,2347,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287867,http://www.bu.edu/dbin/archives/content/holdings/LFA2347/HTML 
p00ylk5c,287874,2348,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=287874,http://www.bu.edu/dbin/archives/content/holdings/LFA2348/HTML 
